Sno,Brand,Category,Product_type,Product_Name,Product_code,Price
404,BIBA,Women,Kurta,BEIGE POLY COTTON LAYERED KURTA SALWAR SUIT SET,SKDLNERC8892AW23BEG,"₹3,999"
405,BIBA,Women,Kurta,BERRY POLY VISCOSE STRAIGHT PRINTED 2 PIECE SET,WORKWEA2102AW23BERY,"₹3,299"
406,BIBA,Women,Kurta,YELLOW COTTON ANARKALI KURTA PALAZZO SUIT SET,SKDASRTD8946AW23YEL,"₹5,499"
407,BIBA,Women,Kurta,YELLOW RAYON ASYMMETRIC YARNDYED KURTA SLIM PANT SUIT SET,SKDGLSTAA8954AW23YEL,"₹3,599"
408,BIBA,Women,Kurta,ORANGE VISCOSE SHANTOON KURTA DHOTI SALWAR SUIT SET,SKD9131AW23ORG,"₹5,500"
409,BIBA,Women,Kurta,ROHIT BAL BLUE COTTON SILK ANARKALI EMBROIDERED SUIT SET,CKD9439AW23BLU,"₹17,950"
410,BIBA,Women,Kurta,NAVY BLUE POLYESTER LEHENGA SET,SKDASRTD8935SKDNVYBLU,"₹6,995"
411,BIBA,Women,Kurta,FUCHSIA LIVA GATHERED KURTA PALAZZO SUIT SET,SKDASRTD8909AW23FUS,"₹3,799"
412,BIBA,Women,Kurta,SAP GREEN COTTON BLEND STRAIGHT YARNDYED SUIT SET,SKDKINARI8924AW23SAPGRN,"₹10,950"
413,BIBA,Women,Kurta,GREEN POLYESTER STRAIGHT PRINTED KURTA SUIT SET,SKDASRTD9114AW23GRN,"₹6,995"
414,BIBA,Women,Kurta,INDIGO COTTON GATHERED KURTA PALAZZO SUIT SET,SKDDABU9026AW23IND,"₹4,995"
415,BIBA,Women,Kurta,RED COTTON STRAIGHT PRINTED KURTA SHARARA SUIT SET,SKDDABU9027AW23RED,"₹4,995"
416,BIBA,Women,Kurta,PEACH POLYESTER STRAIGHT KURTA PALAZZO SUIT SET,SKDASRTD7735AW23PCH,"₹5,995"
417,BIBA,Women,Kurta,MEGANTA POLY DUPION STRAIGHT KURTA LEHENGA SET,SKDASRTD8935AW23MGT,"₹6,995"
418,BIBA,Women,Kurta,ROHIT BAL INDIGO COTTON SILK STRAIGHT PRINTED KURTA SET,CKD9346AW23IND,"₹6,995"
419,BIBA,Women,Kurta,BLUE VISCOSE STRAIGHT YARNDYED KURTA SALWAR SUIT SET,SKDBNRSI8848AW23BLU,"₹8,995"
420,BIBA,Women,Kurta,INDIGO VISCOSE STRAIGHT KURTA PALAZZO SUIT SET,SKDZARDOZI8920AW23IND,"₹9,995"
421,BIBA,Women,Kurta,PINK & PURPLE POLYESTER PRINTED 2 PIECE SET,SKIRTSE2193AW23PUR,"₹4,599"
422,BIBA,Women,Kurta,GREEN & MAROON COTTON ANARKALI KURTA RELAXED SALWAR SUIT SET,SKDIKATSTO8991AW23MRN,"₹5,995"
423,BIBA,Women,Kurta,PASTEL BLUE COTTON ANARKALI KURTA SHARARA SUIT SET,SKDKINARI8540SS23PASTELBLU,"₹19,950"
424,BIBA,Women,Kurta,OFF WHITE COTTON ANARKALI KURTA SKIRT SUIT SET,SKDKINARI8612SS23OWHT,"₹19,950"
425,BIBA,Women,Kurta,BLUE COTTON ANARKALI KURTA CHURIDAR SUIT SET,SKDFKTL9035AW23BLU,"₹4,999"
426,BIBA,Women,Kurta,EARTHY PEACH COTTON BLEND STRAIGHT KURTA PALAZZO SUIT SET,SKDCHIKANKA8149AW22EARTHYPCH,"₹10,500"
427,BIBA,Women,Kurta,PINK COTTON GATHERED KURTA PANTS SUIT SET,SKDPHULWARI8459SS23PNK,"₹7,995"
428,BIBA,Women,Kurta,BURGANDY LIVA GATHERED SOLID KURTA SLIM PANT SUIT SET,SKDCHARMING8178AW23BUR,"₹3,599"
429,BIBA,Women,Kurta,YELLOW & BLUE COTTON ANARKALI SOLID KURTA CHURIDAR SUIT SET,SKDASRTD2802EAW23YELBLU,"₹4,599"
430,BIBA,Women,Kurta,BLACK LIVA SHORT KURTA SKIRT SUIT SET,3PCSSE2206AW23BLK,"₹7,995"
431,BIBA,Women,Kurta,LIME GREEN RAYON STRAIGHT EMBROIDERY KURTA SLIM PANT SUIT SET,SKD9149AW23LIMGRN,"₹3,999"
432,BIBA,Women,Kurta,PEACOCK GREEN POLYESTER ANARKALI KURTA CHURIDAR SUIT SET,SKDPASN9075AW23PCKGRN,"₹6,995"
433,BIBA,Women,Kurta,MAROON POLY VISCOSE PRINTED SUIT SET,SKD9008AW23MRN,"₹5,995"
434,BIBA,Women,Kurta,BLUE COTTON ANARKALI KURTA PALAZZO SUIT SET,SKDSNJH9196AW23BLU,"₹4,995"
435,BIBA,Women,Kurta,ROHIT BAL LIGHT PINK COTTON SILK ANARKALI PRINTED SUIT SET,CKD9441AW23LTPNK,"₹12,950"
436,BIBA,Women,Kurta,POWDER BLUE POLYESTER STRAIGHT KURTA SALWAR SUIT SET,SKDJWLD8608AW23PWRBLU,"₹6,995"
437,BIBA,Women,Kurta,BLACK COTTON ANARKALI KURTA CHURIDAR SUIT SET,SKD7836AW23BLK,"₹6,995"
438,BIBA,Women,Kurta,DUSKY PINK POLYESTER FRONT OPEN KURTA LEHENGA SET,SKD6463AW23DSKYPNK,"₹19,950"
439,BIBA,Women,Kurta,ROHIT BAL OFF WHITE COTTON SILK STRAIGHT PRINTED SUIT SET,CKD9345AW23OWHT,"₹6,995"
440,BIBA,Women,Kurta,LIME GREEN LIVA GATHERED KURTA ANKLE LENGTH SUIT SET,SKDASRTD8910AW23LIMGRN,"₹2,999"
441,BIBA,Women,Kurta,CHARCOAL & NAVY COTTON GATHERED KURTA PALAZZO SUIT SET,SKDDABU9025AW23CHRCLNVY,"₹5,995"
